  #                  SYNDROME      FEM AFF     FEM DEAD     MALE AFF    MALE DEAD    TOTAL AFF   TOTAL DEAD
  1                   "FEVER"        14317           17        14263           12        28580           29
  2                    "RASH"        14185           13        14639           12        28824           25
  3             "MED RELATED"         6566            9         6504            5        13070           14
  4           "NECK PROBLEMS"         2753           76         2729           99         5482          175
  5               "BACK PAIN"        14906          934        14838          919        29744         1853
  6               "BODY PAIN"         7472           11         7523            4        14995           15
  7         "DENTAL PROBLEMS"         2930            4         2992            2         5922            6
  8                "DIARRHEA"         4072          242         4114          232         8186          474
  9         "URINARY PROBLEM"         9073           82         8909           89        17982          171
 10          "HEART PROBLEMS"        10639           15        10430           10        21069           25
 11                   "OTHER"         3310            1         3190            3         6500            4
 12                "HEADACHE"        15560           93        15404          111        30964          204
 13                "EAR PAIN"         6549          102         6696           77        13245          179
 14                   "WOUND"         4156            3         4219            7         8375           10
 15                "ABD PAIN"        22234         1612        22091         1601        44325         3213
 16               "SIDE PAIN"         3777            3         3617            4         7394            7
 17               "HAND PAIN"         9679           11         9686            8        19365           19
 18            "EYE PROBLEMS"        13046          166        13076          185        26122          351
 19                   "COUGH"         5799            5         5967            5        11766           10
 20                     "LOC"         4054            5         4010            3         8064            8
 21             "ANIMAL BITE"         2007            2         2002            0         4009            2
 22                "VOMITING"        21089         1423        21142         1470        42231         2893
 23       "VOMITING ABD PAIN"         7797          766         8005          748        15802         1514
 24       "VOMITING DIARRHEA"        14404         1292        14358         1271        28762         2563
 25              "THUMB PAIN"         1116            0         1146            0         2262            0
 26               "KNEE PAIN"         3459            2         3325            1         6784            3
 27              "FACIAL LAC"         5059           91         5155          109        10214          200
 28                "HIP PAIN"         2544            3         2504            3         5048            6
 29         "MENTAL PROBLEMS"        14586          189        14462          193        29048          382
 30                      "GI"         1384            1         1345            4         2729            5
 31                "ACCIDENT"         2852            3         2862            2         5714            5
 32              "CHEST PAIN"         6762            8         6590           11        13352           19
 33         "SPEECH PROBLEMS"         4325            2         4330            5         8655            7
 34                "LEG PAIN"         8879           76         9029           98        17908          174
 35                "BLEEDING"         5598           30         4726            9        10324           39
 36         "THROAT PROBLEMS"         3370            3         3412            3         6782            6
 37                 "SEIZURE"         3307            4         3491            1         6798            5
 38      "BREATHING PROBLEMS"         6702           10         6643            3        13345           13
 39             "THROAT PAIN"          220            0          234            0          454            0
 40              "ANKLE PAIN"         5134            5         5010            7        10144           12
 41                     "SOB"         2161            2         2123            3         4284            5
 42           "NOSE PROBLEMS"         6980          420         6937          453        13917          873
 43          "SUTURE REMOVAL"          466            0          455            1          921            1
 44          "BOWEL PROBLEMS"         1173            0         1176            0         2349            0
 45                 "ASSAULT"         1853            5         1862            0         3715            5
 46         "KIDNEY PROBLEMS"         3558            4         3485            4         7043            8
 47                "MIGRAINE"         1364            3         1390            1         2754            4
 48                 "ABSCESS"          462            1          469            0          931            1
 49                    "CODE"          441            3          452            0          893            3
 50       "PREGNANCY RELATED"         3900          102         3432           74         7332          176
 51         "EATING PROBLEMS"         3539            0         3509            4         7048            4
 52       "VOMITING HEADACHE"         1749           85         1829           83         3578          168
 53          "PENIS PROBLEMS"          226            0         1403            1         1629            1
 54              "WRIST PAIN"         2801            0         2815            4         5616            4
 55                     "FLU"         1168            0         1110            1         2278            1
 56          "STOOL PROBLEMS"         1623            3         1545            1         3168            4
 57                   "EDEMA"          462            2          457            0          919            2
 58        "STOMACH PROBLEMS"         2088            2         2091            2         4179            4
 59          "SINUS PROBLEMS"         1657            4         1688            4         3345            8
 60           "SHOULDER PAIN"         3469            5         3513            6         6982           11
 61             "FINGER PAIN"         1788            0         1835            1         3623            1
 62                 "ALLERGY"         1124            1         1178            0         2302            1
 63          "VOMITING COUGH"          444            3          504            0          948            3
 64          "MOUTH PROBLEMS"          666            2          708            0         1374            2
 65                     "STD"         1125            1         1113            3         2238            4
 66       "DIABETIC PROBLEMS"         2337            3         2284            3         4621            6
 67             "CHICKEN POX"          462            0          459            0          921            0
 68    "WRIST PAIN HAND PAIN"          462            0          465            0          927            0
 69                "OVERDOSE"         1650            2         1621            0         3271            2
 70              "ELBOW PAIN"          895            1          868            2         1763            3
 71             "PELVIC PAIN"          680            0          726            2         1406            2
 72      "SICKLE CELL CRISIS"          508            1          434            2          942            3
 73         "FEM UG PROBLEMS"          667            8          835            2         1502           10
 74                   "FUSSY"          479            1          435            2          914            3
 75      "ABD PAIN BACK PAIN"         1717          185         1770          190         3487          375
 76                    "CYST"          453            0          466            0          919            0
 77       "APPENDIX PROBLEMS"          446            0          457            0          903            0
