  #                  SYNDROME      FEM AFF     FEM DEAD     MALE AFF    MALE DEAD    TOTAL AFF   TOTAL DEAD
  1                "ABD PAIN"        22234         1612        22091         1601        44325         3213
  2                "VOMITING"        21089         1423        21142         1470        42231         2893
  3                "HEADACHE"        15560           93        15404          111        30964          204
  4               "BACK PAIN"        14906          934        14838          919        29744         1853
  5         "MENTAL PROBLEMS"        14586          189        14462          193        29048          382
  6                    "RASH"        14185           13        14639           12        28824           25
  7       "VOMITING DIARRHEA"        14404         1292        14358         1271        28762         2563
  8                   "FEVER"        14317           17        14263           12        28580           29
  9            "EYE PROBLEMS"        13046          166        13076          185        26122          351
 10          "HEART PROBLEMS"        10639           15        10430           10        21069           25
 11               "HAND PAIN"         9679           11         9686            8        19365           19
 12         "URINARY PROBLEM"         9073           82         8909           89        17982          171
 13                "LEG PAIN"         8879           76         9029           98        17908          174
 14       "VOMITING ABD PAIN"         7797          766         8005          748        15802         1514
 15               "BODY PAIN"         7472           11         7523            4        14995           15
 16           "NOSE PROBLEMS"         6980          420         6937          453        13917          873
 17              "CHEST PAIN"         6762            8         6590           11        13352           19
 18      "BREATHING PROBLEMS"         6702           10         6643            3        13345           13
 19                "EAR PAIN"         6549          102         6696           77        13245          179
 20             "MED RELATED"         6566            9         6504            5        13070           14
 21                   "COUGH"         5799            5         5967            5        11766           10
 22                "BLEEDING"         5598           30         4726            9        10324           39
 23              "FACIAL LAC"         5059           91         5155          109        10214          200
 24              "ANKLE PAIN"         5134            5         5010            7        10144           12
 25         "SPEECH PROBLEMS"         4325            2         4330            5         8655            7
 26                   "WOUND"         4156            3         4219            7         8375           10
 27                "DIARRHEA"         4072          242         4114          232         8186          474
 28                     "LOC"         4054            5         4010            3         8064            8
 29               "SIDE PAIN"         3777            3         3617            4         7394            7
 30       "PREGNANCY RELATED"         3900          102         3432           74         7332          176
 31         "EATING PROBLEMS"         3539            0         3509            4         7048            4
 32         "KIDNEY PROBLEMS"         3558            4         3485            4         7043            8
 33           "SHOULDER PAIN"         3469            5         3513            6         6982           11
 34                 "SEIZURE"         3307            4         3491            1         6798            5
 35               "KNEE PAIN"         3459            2         3325            1         6784            3
 36         "THROAT PROBLEMS"         3370            3         3412            3         6782            6
 37                   "OTHER"         3310            1         3190            3         6500            4
 38         "DENTAL PROBLEMS"         2930            4         2992            2         5922            6
 39                "ACCIDENT"         2852            3         2862            2         5714            5
 40              "WRIST PAIN"         2801            0         2815            4         5616            4
 41           "NECK PROBLEMS"         2753           76         2729           99         5482          175
 42                "HIP PAIN"         2544            3         2504            3         5048            6
 43       "DIABETIC PROBLEMS"         2337            3         2284            3         4621            6
 44                     "SOB"         2161            2         2123            3         4284            5
 45        "STOMACH PROBLEMS"         2088            2         2091            2         4179            4
 46             "ANIMAL BITE"         2007            2         2002            0         4009            2
 47                 "ASSAULT"         1853            5         1862            0         3715            5
 48             "FINGER PAIN"         1788            0         1835            1         3623            1
 49       "VOMITING HEADACHE"         1749           85         1829           83         3578          168
 50      "ABD PAIN BACK PAIN"         1717          185         1770          190         3487          375
 51          "SINUS PROBLEMS"         1657            4         1688            4         3345            8
 52                "OVERDOSE"         1650            2         1621            0         3271            2
 53          "STOOL PROBLEMS"         1623            3         1545            1         3168            4
 54                "MIGRAINE"         1364            3         1390            1         2754            4
 55                      "GI"         1384            1         1345            4         2729            5
 56          "BOWEL PROBLEMS"         1173            0         1176            0         2349            0
 57                 "ALLERGY"         1124            1         1178            0         2302            1
 58                     "FLU"         1168            0         1110            1         2278            1
 59              "THUMB PAIN"         1116            0         1146            0         2262            0
 60                     "STD"         1125            1         1113            3         2238            4
 61              "ELBOW PAIN"          895            1          868            2         1763            3
 62          "PENIS PROBLEMS"          226            0         1403            1         1629            1
 63         "FEM UG PROBLEMS"          667            8          835            2         1502           10
 64             "PELVIC PAIN"          680            0          726            2         1406            2
 65          "MOUTH PROBLEMS"          666            2          708            0         1374            2
 66          "VOMITING COUGH"          444            3          504            0          948            3
 67      "SICKLE CELL CRISIS"          508            1          434            2          942            3
 68                 "ABSCESS"          462            1          469            0          931            1
 69    "WRIST PAIN HAND PAIN"          462            0          465            0          927            0
 70             "CHICKEN POX"          462            0          459            0          921            0
 71          "SUTURE REMOVAL"          466            0          455            1          921            1
 72                   "EDEMA"          462            2          457            0          919            2
 73                    "CYST"          453            0          466            0          919            0
 74                   "FUSSY"          479            1          435            2          914            3
 75       "APPENDIX PROBLEMS"          446            0          457            0          903            0
 76                    "CODE"          441            3          452            0          893            3
 77             "THROAT PAIN"          220            0          234            0          454            0
