  #                  SYNDROME      FEM AFF     FEM DEAD     MALE AFF    MALE DEAD    TOTAL AFF   TOTAL DEAD
  1                "BLEEDING"        56931          391        48863           51       105794          442
  2                   "FEVER"       145045          112       145337          141       290382          253
  3                "EAR PAIN"        67345          929        67568          930       134913         1859
  4                    "RASH"       145402          149       146563          128       291965          277
  5           "SHOULDER PAIN"        35213           29        34934           31        70147           60
  6                "ACCIDENT"        28091           33        27790           21        55881           54
  7            "EYE PROBLEMS"       132403         1775       132998         1806       265401         3581
  8             "MED RELATED"        65992           65        65686           71       131678          136
  9       "PREGNANCY RELATED"        39030          892        34647          877        73677         1769
 10                "VOMITING"       213958        14560       215635        14675       429593        29235
 11              "ANKLE PAIN"        51568           53        51429           44       102997           97
 12      "ABD PAIN BACK PAIN"        17731         1742        17688         1708        35419         3450
 13             "THROAT PAIN"         2304            2         2309            2         4613            4
 14                "HEADACHE"       156019          966       155572         1013       311591         1979
 15          "VOMITING COUGH"         4671            2         4723            4         9394            6
 16                    "CODE"         4568            4         4697            4         9265            8
 17           "NOSE PROBLEMS"        70268         4328        69980         4186       140248         8514
 18      "BREATHING PROBLEMS"        68392           62        67637           58       136029          120
 19         "THROAT PROBLEMS"        35242           39        35258           37        70500           76
 20              "WRIST PAIN"        28187           29        28138           13        56325           42
 21                "ABD PAIN"       225311        16474       224977        16318       450288        32792
 22         "MENTAL PROBLEMS"       148820         1809       148734         1932       297554         3741
 23                     "LOC"        40016           53        39991           38        80007           91
 24          "SINUS PROBLEMS"        16224            8        16105           13        32329           21
 25          "SUTURE REMOVAL"         4704            4         4691            3         9395            7
 26               "BACK PAIN"       151025         9438       152255         9542       303280        18980
 27          "HEART PROBLEMS"       105288          119       105217          112       210505          231
 28               "HAND PAIN"        97836          104        98334           76       196170          180
 29           "NECK PROBLEMS"        27786          837        27652          892        55438         1729
 30       "VOMITING ABD PAIN"        79718         7753        80678         7737       160396        15490
 31              "FACIAL LAC"        51437          911        50679          851       102116         1762
 32                "DIARRHEA"        41039         2630        40939         2675        81978         5305
 33                   "FUSSY"         4674            6         4718            2         9392            8
 34               "SIDE PAIN"        37679           37        37602           45        75281           82
 35          "BOWEL PROBLEMS"        11802           14        11549           13        23351           27
 36                "MIGRAINE"        14182           19        13956            8        28138           27
 37                 "SEIZURE"        34948           32        35097           20        70045           52
 38          "PENIS PROBLEMS"         2315            3        13803           16        16118           19
 39                   "WOUND"        42230           34        41961           57        84191           91
 40         "SPEECH PROBLEMS"        44797           42        44436           53        89233           95
 41       "VOMITING DIARRHEA"       146917        13097       147371        12918       294288        26015
 42               "BODY PAIN"        74933           71        74488           72       149421          143
 43                   "COUGH"        58661           62        61123           77       119784          139
 44                 "ALLERGY"        11671           14        11608           10        23279           24
 45         "DENTAL PROBLEMS"        30442           26        30399           28        60841           54
 46              "CHEST PAIN"        68063           74        67790           67       135853          141
 47                   "OTHER"        32948           39        32806           33        65754           72
 48                     "FLU"        11745           14        11823            7        23568           21
 49         "EATING PROBLEMS"        35301           39        35021           43        70322           82
 50       "APPENDIX PROBLEMS"         4541            7         4687            3         9228           10
 51                "LEG PAIN"        90754          944        90739          895       181493         1839
 52         "URINARY PROBLEM"        91726          929        90238          947       181964         1876
 53                 "ASSAULT"        18671           10        18675           17        37346           27
 54             "FINGER PAIN"        18856           24        18548           17        37404           41
 55                "OVERDOSE"        16522           12        16175           23        32697           35
 56         "KIDNEY PROBLEMS"        34924           43        35247           24        70171           67
 57          "STOOL PROBLEMS"        16254           21        16404           13        32658           34
 58                     "SOB"        21057           19        20963           29        42020           48
 59                      "GI"        14068            8        14087           16        28155           24
 60    "WRIST PAIN HAND PAIN"         4690            3         4776            4         9466            7
 61      "SICKLE CELL CRISIS"         4701            4         4660            5         9361            9
 62             "ANIMAL BITE"        20832           18        21117           21        41949           39
 63               "KNEE PAIN"        35263           38        35134           42        70397           80
 64       "DIABETIC PROBLEMS"        23322           23        23209           23        46531           46
 65              "THUMB PAIN"        11972            8        11638           13        23610           21
 66             "PELVIC PAIN"         7248           11         7084            5        14332           16
 67             "CHICKEN POX"         4680            5         4685            5         9365           10
 68       "VOMITING HEADACHE"        18045          851        18378          868        36423         1719
 69                "HIP PAIN"        25866           38        25515           30        51381           68
 70        "STOMACH PROBLEMS"        21217           26        20883           24        42100           50
 71              "ELBOW PAIN"         9825            9        10651           13        20476           22
 72                     "STD"        11836            9        11856           14        23692           23
 73          "MOUTH PROBLEMS"         7067            3         7103            6        14170            9
 74                   "EDEMA"         4635            4         4643            3         9278            7
 75         "FEM UG PROBLEMS"         6396           68         8752            6        15148           74
 76                 "ABSCESS"         5521            4         5267            7        10788           11
 77                    "CYST"         4666            6         4528            4         9194           10
