  #                  SYNDROME      FEM AFF     FEM DEAD     MALE AFF    MALE DEAD    TOTAL AFF   TOTAL DEAD
  1                "ABD PAIN"        12362          752        12321          750        24683         1502
  2                "VOMITING"        11943          665        11963          669        23906         1334
  3                "HEADACHE"        10072           55         9887           43        19959           98
  4                   "FEVER"         9610            7         9545            5        19155           12
  5                    "RASH"         9575            8         9562            4        19137           12
  6         "MENTAL PROBLEMS"         9438          108         9429           81        18867          189
  7               "BACK PAIN"         8282          392         8518          449        16800          841
  8            "EYE PROBLEMS"         8200           69         8103           82        16303          151
  9       "VOMITING DIARRHEA"         7835          600         7654          558        15489         1158
 10          "HEART PROBLEMS"         6816            8         6873            4        13689           12
 11               "HAND PAIN"         6366            6         6312            7        12678           13
 12         "URINARY PROBLEM"         5846           47         5740           43        11586           90
 13                "LEG PAIN"         5750           57         5714           47        11464          104
 14               "BODY PAIN"         4789            5         4681            4         9470            9
 15              "CHEST PAIN"         4532            5         4416            1         8948            6
 16      "BREATHING PROBLEMS"         4355            3         4349            5         8704            8
 17                "EAR PAIN"         4343           54         4293           40         8636           94
 18             "MED RELATED"         4297            3         4241            5         8538            8
 19       "VOMITING ABD PAIN"         3986          354         4112          323         8098          677
 20           "NOSE PROBLEMS"         3981          207         3903          246         7884          453
 21                   "COUGH"         3842           11         3720            1         7562           12
 22                "BLEEDING"         3650           22         3165            1         6815           23
 23              "ANKLE PAIN"         3369            3         3370            5         6739            8
 24              "FACIAL LAC"         3157           43         3182           33         6339           76
 25         "SPEECH PROBLEMS"         2869            3         2856            2         5725            5
 26                   "WOUND"         2831            1         2667            6         5498            7
 27                     "LOC"         2575            1         2602            6         5177            7
 28               "SIDE PAIN"         2507            2         2456            3         4963            5
 29               "KNEE PAIN"         2336            2         2283            1         4619            3
 30                 "SEIZURE"         2309            0         2308            2         4617            2
 31           "SHOULDER PAIN"         2330            1         2228            3         4558            4
 32         "EATING PROBLEMS"         2294            0         2247            1         4541            1
 33         "THROAT PROBLEMS"         2298            1         2235            0         4533            1
 34         "KIDNEY PROBLEMS"         2242            4         2289            3         4531            7
 35       "PREGNANCY RELATED"         2322           42         2138           43         4460           85
 36                "DIARRHEA"         2195          116         2259          143         4454          259
 37                   "OTHER"         2134            1         2151            4         4285            5
 38         "DENTAL PROBLEMS"         1974            0         1975            0         3949            0
 39                "ACCIDENT"         1861            2         1800            1         3661            3
 40              "WRIST PAIN"         1733            2         1871            1         3604            3
 41                "HIP PAIN"         1691            1         1717            2         3408            3
 42           "NECK PROBLEMS"         1647           39         1722           38         3369           77
 43       "DIABETIC PROBLEMS"         1514            4         1578            1         3092            5
 44        "STOMACH PROBLEMS"         1396            1         1372            3         2768            4
 45                     "SOB"         1383            1         1364            3         2747            4
 46             "ANIMAL BITE"         1404            1         1332            2         2736            3
 47             "FINGER PAIN"         1279            1         1205            3         2484            4
 48                 "ASSAULT"         1222            1         1185            0         2407            1
 49          "STOOL PROBLEMS"         1143            0         1034            1         2177            1
 50       "VOMITING HEADACHE"         1090           43         1062           34         2152           77
 51                "OVERDOSE"         1020            0         1083            1         2103            1
 52          "SINUS PROBLEMS"         1041            1         1040            2         2081            3
 53                "MIGRAINE"          912            0          928            0         1840            0
 54      "ABD PAIN BACK PAIN"          888           69          931           77         1819          146
 55                      "GI"          905            0          861            0         1766            0
 56                     "STD"          789            2          753            0         1542            2
 57              "THUMB PAIN"          762            0          777            0         1539            0
 58                 "ALLERGY"          766            0          745            1         1511            1
 59                     "FLU"          736            3          754            0         1490            3
 60          "BOWEL PROBLEMS"          709            1          754            1         1463            2
 61              "ELBOW PAIN"          594            1          618            1         1212            2
 62          "PENIS PROBLEMS"          140            1          909            1         1049            2
 63         "FEM UG PROBLEMS"          414            4          603            1         1017            5
 64          "MOUTH PROBLEMS"          483            0          452            0          935            0
 65             "PELVIC PAIN"          457            0          471            1          928            1
 66          "SUTURE REMOVAL"          332            0          312            2          644            2
 67                    "CODE"          327            0          297            0          624            0
 68    "WRIST PAIN HAND PAIN"          308            1          313            0          621            1
 69       "APPENDIX PROBLEMS"          300            2          313            1          613            3
 70                   "FUSSY"          309            0          299            1          608            1
 71      "SICKLE CELL CRISIS"          302            0          302            1          604            1
 72                 "ABSCESS"          288            0          312            1          600            1
 73                   "EDEMA"          284            0          300            0          584            0
 74             "CHICKEN POX"          296            2          287            0          583            2
 75          "VOMITING COUGH"          288            1          293            0          581            1
 76                    "CYST"          284            0          273            0          557            0
 77             "THROAT PAIN"          144            0          167            0          311            0
