  #                  SYNDROME      FEM AFF     FEM DEAD     MALE AFF    MALE DEAD    TOTAL AFF   TOTAL DEAD
  1                "HEADACHE"        30725          142        30205          141        60930          283
  2                    "RASH"        28940           28        28971           29        57911           57
  3               "HAND PAIN"        19254           15        19343           22        38597           37
  4                "LEG PAIN"        17579          123        17327          133        34906          256
  5                "BLEEDING"        10844           52         9612           12        20456           64
  6           "NECK PROBLEMS"         4889          126         4960           93         9849          219
  7                "ABD PAIN"        36102         2124        35711         2096        71813         4220
  8                "ACCIDENT"         5461            7         5428            6        10889           13
  9       "PREGNANCY RELATED"         7211          106         6275          128        13486          234
 10           "SHOULDER PAIN"         7074            5         6988            6        14062           11
 11                 "ASSAULT"         3600            0         3662            1         7262            1
 12               "BACK PAIN"        25091         1233        24736         1190        49827         2423
 13              "CHEST PAIN"        13512            8        13571           20        27083           28
 14              "WRIST PAIN"         5479            6         5584            2        11063            8
 15          "BOWEL PROBLEMS"         2398            1         2341            3         4739            4
 16               "SIDE PAIN"         7574            5         7322            5        14896           10
 17               "BODY PAIN"        14901           19        14593           16        29494           35
 18                   "COUGH"        11726            7        11575           17        23301           24
 19                "EAR PAIN"        13096          115        12723          100        25819          215
 20         "MENTAL PROBLEMS"        28337          261        28244          242        56581          503
 21                "VOMITING"        34754         1891        34626         1867        69380         3758
 22         "URINARY PROBLEM"        17933          117        17428          111        35361          228
 23                     "LOC"         7872            7         7814            8        15686           15
 24         "EATING PROBLEMS"         6816            7         6861            5        13677           12
 25                   "FEVER"        28631           33        28714           34        57345           67
 26             "MED RELATED"        13096           10        13014           12        26110           22
 27         "KIDNEY PROBLEMS"         6961            8         6815            6        13776           14
 28          "SINUS PROBLEMS"         3274            3         3154            4         6428            7
 29               "KNEE PAIN"         6807            8         6980            9        13787           17
 30                    "CODE"          928            0          924            1         1852            1
 31                   "OTHER"         6654            4         6444            4        13098            8
 32                 "SEIZURE"         6882            5         6999            7        13881           12
 33       "VOMITING DIARRHEA"        22343         1696        22166         1630        44509         3326
 34       "VOMITING ABD PAIN"        11567          980        11815         1030        23382         2010
 35            "EYE PROBLEMS"        25125          242        25243          226        50368          468
 36                     "STD"         2333            4         2232            2         4565            6
 37             "ANIMAL BITE"         4162            9         4109            6         8271           15
 38          "PENIS PROBLEMS"          479            0         2781            2         3260            2
 39      "SICKLE CELL CRISIS"          995            1          897            2         1892            3
 40          "HEART PROBLEMS"        20750           14        20662           17        41412           31
 41             "FINGER PAIN"         3712            1         3647            2         7359            3
 42                   "WOUND"         8360           11         8371           10        16731           21
 43              "ANKLE PAIN"         9985           11        10207            7        20192           18
 44              "FACIAL LAC"         9735          128         9603          117        19338          245
 45        "STOMACH PROBLEMS"         4191            3         4151            3         8342            6
 46           "NOSE PROBLEMS"        11514          536        11593          511        23107         1047
 47                "HIP PAIN"         5224            5         5140            9        10364           14
 48         "SPEECH PROBLEMS"         8674            4         8692            6        17366           10
 49                "MIGRAINE"         2816            3         2762            5         5578            8
 50                 "ALLERGY"         2362            3         2287            0         4649            3
 51          "SUTURE REMOVAL"          972            3          955            0         1927            3
 52                "OVERDOSE"         3254            3         3253            2         6507            5
 53          "MOUTH PROBLEMS"         1451            3         1453            1         2904            4
 54                "DIARRHEA"         6697          346         6774          334        13471          680
 55         "THROAT PROBLEMS"         6919            5         7001            7        13920           12
 56      "BREATHING PROBLEMS"        13281           18        13409           15        26690           33
 57          "STOOL PROBLEMS"         3288            6         3209            3         6497            9
 58       "DIABETIC PROBLEMS"         4504            6         4611            3         9115            9
 59                   "FUSSY"          913            1         1002            0         1915            1
 60         "DENTAL PROBLEMS"         6281            6         6179            7        12460           13
 61                     "FLU"         2309            3         2431            5         4740            8
 62                     "SOB"         4147            3         4191            4         8338            7
 63                      "GI"         2863            2         2754            4         5617            6
 64       "APPENDIX PROBLEMS"          939            1          920            1         1859            2
 65                    "CYST"          943            1          907            2         1850            3
 66         "FEM UG PROBLEMS"         1226            8         1682            1         2908            9
 67              "THUMB PAIN"         2316            1         2413            0         4729            1
 68             "THROAT PAIN"          453            0          478            0          931            0
 69             "CHICKEN POX"          847            1          946            2         1793            3
 70                   "EDEMA"          934            1          928            1         1862            2
 71       "VOMITING HEADACHE"         3093           99         3241          125         6334          224
 72                 "ABSCESS"          891            2          926            0         1817            2
 73    "WRIST PAIN HAND PAIN"          926            2          899            0         1825            2
 74              "ELBOW PAIN"         1817            4         1823            3         3640            7
 75             "PELVIC PAIN"         1388            2         1388            1         2776            3
 76          "VOMITING COUGH"          936            0          981            1         1917            1
 77      "ABD PAIN BACK PAIN"         2573          209         2617          229         5190          438
