  #                  SYNDROME      FEM AFF     FEM DEAD     MALE AFF    MALE DEAD    TOTAL AFF   TOTAL DEAD
  1               "SIDE PAIN"          562            1          528            1         1090            2
  2                "ABD PAIN"         1471            1         1503            1         2974            2
  3         "URINARY PROBLEM"         1337            1         1279            0         2616            1
  4                    "RASH"         2210            6         2225            2         4435            8
  5       "PREGNANCY RELATED"          471            3          372            0          843            3
  6      "BREATHING PROBLEMS"         1009            0         1025            0         2034            0
  7              "WRIST PAIN"          380            0          429            0          809            0
  8              "CHEST PAIN"          988            0         1040            1         2028            1
  9                 "ALLERGY"          153            0          175            0          328            0
 10               "HAND PAIN"         1426            1         1525            2         2951            3
 11          "BOWEL PROBLEMS"          184            0          176            0          360            0
 12               "BODY PAIN"         1140            3         1163            2         2303            5
 13         "DENTAL PROBLEMS"          500            0          473            0          973            0
 14         "THROAT PROBLEMS"          513            0          502            1         1015            1
 15                   "COUGH"          900            2          882            0         1782            2
 16           "SHOULDER PAIN"          531            0          517            0         1048            0
 17                "HEADACHE"         2203            5         2222            1         4425            6
 18             "PELVIC PAIN"          117            0           90            0          207            0
 19                "MIGRAINE"          222            0          210            0          432            0
 20              "ELBOW PAIN"          131            0          136            0          267            0
 21         "MENTAL PROBLEMS"         2028            3         1980            0         4008            3
 22            "EYE PROBLEMS"         1689            2         1796            1         3485            3
 23                "VOMITING"         1517            0         1567            2         3084            2
 24             "MED RELATED"          957            4          928            0         1885            4
 25                "LEG PAIN"         1251            2         1273            5         2524            7
 26       "VOMITING ABD PAIN"          334            0          308            0          642            0
 27               "BACK PAIN"         1192            1         1200            1         2392            2
 28                "ACCIDENT"          416            0          435            1          851            1
 29       "DIABETIC PROBLEMS"          355            0          357            0          712            0
 30                     "LOC"          551            0          553            1         1104            1
 31                "HIP PAIN"          391            1          380            0          771            1
 32              "FACIAL LAC"          673            1          641            1         1314            2
 33       "VOMITING HEADACHE"          185            0          195            1          380            1
 34                   "FEVER"         2183            3         2209            0         4392            3
 35                "BLEEDING"          829            0          705            0         1534            0
 36          "HEART PROBLEMS"         1607            1         1667            1         3274            2
 37                   "OTHER"          456            1          470            1          926            2
 38         "EATING PROBLEMS"          481            0          557            0         1038            0
 39          "VOMITING COUGH"           67            0           70            0          137            0
 40         "SPEECH PROBLEMS"          696            0          658            0         1354            0
 41                 "SEIZURE"          498            1          546            0         1044            1
 42       "VOMITING DIARRHEA"          748            0          760            0         1508            0
 43              "ANKLE PAIN"          782            1          791            1         1573            2
 44          "SINUS PROBLEMS"          217            0          234            0          451            0
 45                   "WOUND"          601            0          623            0         1224            0
 46               "KNEE PAIN"          533            0          520            0         1053            0
 47       "APPENDIX PROBLEMS"           67            0           75            0          142            0
 48              "THUMB PAIN"          164            1          195            0          359            1
 49           "NOSE PROBLEMS"          549            0          578            1         1127            1
 50        "STOMACH PROBLEMS"          318            0          296            0          614            0
 51          "SUTURE REMOVAL"           67            0           67            0          134            0
 52           "NECK PROBLEMS"          304            0          299            0          603            0
 53             "FINGER PAIN"          262            0          266            0          528            0
 54                "EAR PAIN"          834            1          910            1         1744            2
 55                     "FLU"          176            1          189            0          365            1
 56                    "CYST"           63            0           66            0          129            0
 57         "KIDNEY PROBLEMS"          549            0          544            2         1093            2
 58                     "SOB"          288            1          313            1          601            2
 59                    "CODE"           71            0           67            0          138            0
 60                   "FUSSY"           83            0           65            0          148            0
 61          "PENIS PROBLEMS"           29            0          209            0          238            0
 62      "ABD PAIN BACK PAIN"           63            0           79            0          142            0
 63                     "STD"          176            0          190            0          366            0
 64                      "GI"          212            0          211            0          423            0
 65                 "ASSAULT"          275            1          294            1          569            2
 66                "OVERDOSE"          233            0          253            0          486            0
 67             "ANIMAL BITE"          314            0          310            0          624            0
 68          "STOOL PROBLEMS"          225            1          238            0          463            1
 69                "DIARRHEA"          300            0          314            1          614            1
 70                 "ABSCESS"           88            0           69            0          157            0
 71         "FEM UG PROBLEMS"           94            0          134            0          228            0
 72      "SICKLE CELL CRISIS"           62            0           65            1          127            1
 73                   "EDEMA"           67            0           72            1          139            1
 74             "CHICKEN POX"           69            0           77            0          146            0
 75          "MOUTH PROBLEMS"           98            0          104            0          202            0
 76    "WRIST PAIN HAND PAIN"           79            0           77            0          156            0
 77             "THROAT PAIN"           37            0           35            0           72            0
