  #                  SYNDROME      FEM AFF     FEM DEAD     MALE AFF    MALE DEAD    TOTAL AFF   TOTAL DEAD
  1                    "RASH"         5979            1         6139            4        12118            5
  2                "HEADACHE"         6598           50         6394           47        12992           97
  3         "SPEECH PROBLEMS"         1856            0         1853            3         3709            3
  4              "FACIAL LAC"         2227           28         2120           29         4347           57
  5          "PENIS PROBLEMS"           97            1          601            1          698            2
  6      "SICKLE CELL CRISIS"          223            0          186            1          409            1
  7                "VOMITING"         9385          666         9503          689        18888         1355
  8               "SIDE PAIN"         1623            0         1509            3         3132            3
  9       "DIABETIC PROBLEMS"          909            1          977            1         1886            2
 10             "MED RELATED"         2711            2         2684            4         5395            6
 11             "THROAT PAIN"          111            1           95            0          206            1
 12                     "SOB"          840            0          854            0         1694            0
 13               "HAND PAIN"         4068            5         3911            1         7979            6
 14       "VOMITING DIARRHEA"         6586          595         6583          570        13169         1165
 15                "BLEEDING"         2357           19         1944            2         4301           21
 16         "MENTAL PROBLEMS"         6154           85         6179           93        12333          178
 17                   "FEVER"         6114            6         6012            5        12126           11
 18                    "CODE"          198            0          187            1          385            1
 19                "ABD PAIN"         9936          767         9998          804        19934         1571
 20          "HEART PROBLEMS"         4496            6         4374            3         8870            9
 21         "URINARY PROBLEM"         3852           33         3730           41         7582           74
 22           "NECK PROBLEMS"         1207           49         1238           44         2445           93
 23             "ANIMAL BITE"          830            2          851            0         1681            2
 24                "EAR PAIN"         2747           35         2779           26         5526           61
 25           "SHOULDER PAIN"         1509            2         1368            0         2877            2
 26         "KIDNEY PROBLEMS"         1551            2         1452            2         3003            4
 27       "APPENDIX PROBLEMS"          206            0          190            1          396            1
 28         "DENTAL PROBLEMS"         1216            2         1292            1         2508            3
 29             "PELVIC PAIN"          283            0          279            0          562            0
 30               "BODY PAIN"         3051            2         2988            2         6039            4
 31                     "STD"          494            0          509            1         1003            1
 32                   "OTHER"         1330            1         1338            0         2668            1
 33                "LEG PAIN"         3683           35         3765           52         7448           87
 34         "EATING PROBLEMS"         1469            1         1430            2         2899            3
 35              "CHEST PAIN"         2813            2         2829            1         5642            3
 36         "THROAT PROBLEMS"         1401            1         1428            3         2829            4
 37      "ABD PAIN BACK PAIN"          810           75          790           77         1600          152
 38                "MIGRAINE"          621            0          604            1         1225            1
 39           "NOSE PROBLEMS"         3071          202         3051          203         6122          405
 40       "VOMITING HEADACHE"          775           34          794           40         1569           74
 41               "KNEE PAIN"         1512            2         1419            2         2931            4
 42                     "LOC"         1642            2         1617            2         3259            4
 43            "EYE PROBLEMS"         5654           75         5542           75        11196          150
 44               "BACK PAIN"         6528          473         6730          448        13258          921
 45          "STOOL PROBLEMS"          717            0          739            0         1456            0
 46                 "SEIZURE"         1423            2         1411            3         2834            5
 47              "ANKLE PAIN"         2140            0         2141            1         4281            1
 48             "FINGER PAIN"          746            1          779            1         1525            2
 49        "STOMACH PROBLEMS"          862            0          820            0         1682            0
 50                     "FLU"          475            3          492            1          967            4
 51       "PREGNANCY RELATED"         1607           45         1484           39         3091           84
 52                   "WOUND"         1706            1         1729            0         3435            1
 53                      "GI"          572            2          567            0         1139            2
 54              "WRIST PAIN"         1156            2         1251            0         2407            2
 55             "CHICKEN POX"          195            0          205            1          400            1
 56    "WRIST PAIN HAND PAIN"          184            0          177            0          361            0
 57                "OVERDOSE"          697            0          686            1         1383            1
 58          "MOUTH PROBLEMS"          260            1          266            0          526            1
 59                "HIP PAIN"         1092            1         1095            0         2187            1
 60          "SINUS PROBLEMS"          710            1          658            3         1368            4
 61              "THUMB PAIN"          488            1          502            0          990            1
 62                "ACCIDENT"         1173            2         1171            2         2344            4
 63      "BREATHING PROBLEMS"         2889            3         2774            4         5663            7
 64                   "COUGH"         2449            0         2309            5         4758            5
 65                 "ALLERGY"          494            0          480            1          974            1
 66                "DIARRHEA"         1825          137         1790          132         3615          269
 67       "VOMITING ABD PAIN"         3651          379         3661          380         7312          759
 68                 "ASSAULT"          795            0          746            0         1541            0
 69              "ELBOW PAIN"          355            1          398            1          753            2
 70                   "EDEMA"          193            1          213            0          406            1
 71                   "FUSSY"          223            0          183            0          406            0
 72          "VOMITING COUGH"          183            0          186            0          369            0
 73          "BOWEL PROBLEMS"          495            0          523            1         1018            1
 74         "FEM UG PROBLEMS"          322            3          319            0          641            3
 75          "SUTURE REMOVAL"          187            0          198            0          385            0
 76                    "CYST"          182            1          178            0          360            1
 77                 "ABSCESS"          186            0          185            0          371            0
