  #                  SYNDROME      FEM AFF     FEM DEAD     MALE AFF    MALE DEAD    TOTAL AFF   TOTAL DEAD
  1                "ABD PAIN"         9936          767         9998          804        19934         1571
  2                "VOMITING"         9385          666         9503          689        18888         1355
  3               "BACK PAIN"         6528          473         6730          448        13258          921
  4       "VOMITING DIARRHEA"         6586          595         6583          570        13169         1165
  5                "HEADACHE"         6598           50         6394           47        12992           97
  6         "MENTAL PROBLEMS"         6154           85         6179           93        12333          178
  7                   "FEVER"         6114            6         6012            5        12126           11
  8                    "RASH"         5979            1         6139            4        12118            5
  9            "EYE PROBLEMS"         5654           75         5542           75        11196          150
 10          "HEART PROBLEMS"         4496            6         4374            3         8870            9
 11               "HAND PAIN"         4068            5         3911            1         7979            6
 12         "URINARY PROBLEM"         3852           33         3730           41         7582           74
 13                "LEG PAIN"         3683           35         3765           52         7448           87
 14       "VOMITING ABD PAIN"         3651          379         3661          380         7312          759
 15           "NOSE PROBLEMS"         3071          202         3051          203         6122          405
 16               "BODY PAIN"         3051            2         2988            2         6039            4
 17      "BREATHING PROBLEMS"         2889            3         2774            4         5663            7
 18              "CHEST PAIN"         2813            2         2829            1         5642            3
 19                "EAR PAIN"         2747           35         2779           26         5526           61
 20             "MED RELATED"         2711            2         2684            4         5395            6
 21                   "COUGH"         2449            0         2309            5         4758            5
 22              "FACIAL LAC"         2227           28         2120           29         4347           57
 23                "BLEEDING"         2357           19         1944            2         4301           21
 24              "ANKLE PAIN"         2140            0         2141            1         4281            1
 25         "SPEECH PROBLEMS"         1856            0         1853            3         3709            3
 26                "DIARRHEA"         1825          137         1790          132         3615          269
 27                   "WOUND"         1706            1         1729            0         3435            1
 28                     "LOC"         1642            2         1617            2         3259            4
 29               "SIDE PAIN"         1623            0         1509            3         3132            3
 30       "PREGNANCY RELATED"         1607           45         1484           39         3091           84
 31         "KIDNEY PROBLEMS"         1551            2         1452            2         3003            4
 32               "KNEE PAIN"         1512            2         1419            2         2931            4
 33         "EATING PROBLEMS"         1469            1         1430            2         2899            3
 34           "SHOULDER PAIN"         1509            2         1368            0         2877            2
 35                 "SEIZURE"         1423            2         1411            3         2834            5
 36         "THROAT PROBLEMS"         1401            1         1428            3         2829            4
 37                   "OTHER"         1330            1         1338            0         2668            1
 38         "DENTAL PROBLEMS"         1216            2         1292            1         2508            3
 39           "NECK PROBLEMS"         1207           49         1238           44         2445           93
 40              "WRIST PAIN"         1156            2         1251            0         2407            2
 41                "ACCIDENT"         1173            2         1171            2         2344            4
 42                "HIP PAIN"         1092            1         1095            0         2187            1
 43       "DIABETIC PROBLEMS"          909            1          977            1         1886            2
 44                     "SOB"          840            0          854            0         1694            0
 45        "STOMACH PROBLEMS"          862            0          820            0         1682            0
 46             "ANIMAL BITE"          830            2          851            0         1681            2
 47      "ABD PAIN BACK PAIN"          810           75          790           77         1600          152
 48       "VOMITING HEADACHE"          775           34          794           40         1569           74
 49                 "ASSAULT"          795            0          746            0         1541            0
 50             "FINGER PAIN"          746            1          779            1         1525            2
 51          "STOOL PROBLEMS"          717            0          739            0         1456            0
 52                "OVERDOSE"          697            0          686            1         1383            1
 53          "SINUS PROBLEMS"          710            1          658            3         1368            4
 54                "MIGRAINE"          621            0          604            1         1225            1
 55                      "GI"          572            2          567            0         1139            2
 56          "BOWEL PROBLEMS"          495            0          523            1         1018            1
 57                     "STD"          494            0          509            1         1003            1
 58              "THUMB PAIN"          488            1          502            0          990            1
 59                 "ALLERGY"          494            0          480            1          974            1
 60                     "FLU"          475            3          492            1          967            4
 61              "ELBOW PAIN"          355            1          398            1          753            2
 62          "PENIS PROBLEMS"           97            1          601            1          698            2
 63         "FEM UG PROBLEMS"          322            3          319            0          641            3
 64             "PELVIC PAIN"          283            0          279            0          562            0
 65          "MOUTH PROBLEMS"          260            1          266            0          526            1
 66      "SICKLE CELL CRISIS"          223            0          186            1          409            1
 67                   "EDEMA"          193            1          213            0          406            1
 68                   "FUSSY"          223            0          183            0          406            0
 69             "CHICKEN POX"          195            0          205            1          400            1
 70       "APPENDIX PROBLEMS"          206            0          190            1          396            1
 71                    "CODE"          198            0          187            1          385            1
 72          "SUTURE REMOVAL"          187            0          198            0          385            0
 73                 "ABSCESS"          186            0          185            0          371            0
 74          "VOMITING COUGH"          183            0          186            0          369            0
 75    "WRIST PAIN HAND PAIN"          184            0          177            0          361            0
 76                    "CYST"          182            1          178            0          360            1
 77             "THROAT PAIN"          111            1           95            0          206            1
