 1               "RASH"       361      5546     44133    153716    219780    128117     31346      3427       210         0      586636
 1               "RASH"         1         4        37       154       215       115        37         2         0         0         565
 2    "URINARY PROBLEM"       319      3612     27835     95882    137674     80181     19813      2209       134         0      367659
 2    "URINARY PROBLEM"         7        58       311      1014      1476       879       244        25         3         0        4017
 3       "EYE PROBLEMS"       395      5282     40633    139565    199930    117697     29022      3240       215         0      535979
 3       "EYE PROBLEMS"         9        84       629      1992      2835      1675       457        46         3         0        7730
 4     "BOWEL PROBLEMS"        24       438      3473     12224     17783     10322      2587       294        16         0       47161
 4     "BOWEL PROBLEMS"         0         0         5        13        16        12         3         0         0         0          49
 5                "SOB"        51       797      6256     22185     31614     18301      4412       469        29         0       84114
 5                "SOB"         0         1        11        25        24        16         6         0         0         0          83
 6    "DENTAL PROBLEMS"        91      1275      9479     32182     45557     26571      6560       667        33         0      122415
 6    "DENTAL PROBLEMS"         0         0        12        32        37        22         6         0         0         0         109
 7          "HAND PAIN"       263      3743     29669    102651    147874     86125     20818      2372       123         0      393638
 7          "HAND PAIN"         0         7        34       103       124        82        14         3         0         0         367
 8           "LEG PAIN"       246      4624     27879     95700    136821     80316     19359      2021       128         0      367094
 8           "LEG PAIN"         7        60       351      1036      1403       902       228        25         3         0        4015
 9           "ACCIDENT"        84      1098      8385     29315     42201     24657      5933       679        40         0      112392
 9           "ACCIDENT"         0         1        13        19        39        30         8         0         0         0         110
10    "SPEECH PROBLEMS"       126      1704     13349     46546     66929     38955      9491      1044        69         0      178213
10    "SPEECH PROBLEMS"         0         0        15        41        70        29        11         1         0         0         167
11 "BREATHING PROBLEMS"       150      2526     20676     71110    101880     59501     14585      1565        95         0      272088
11 "BREATHING PROBLEMS"         0         0        19        63       105        49        14         2         0         0         252
12           "EAR PAIN"       180      2702     20836     71063    101787     59826     14609      1592        98         0      272693
12           "EAR PAIN"         4        44       339       993      1424       868       246        28         1         0        3947
13  "VOMITING ABD PAIN"       377      4067     27437     87931    122678     74273     19561      2513       229         0      339066
13  "VOMITING ABD PAIN"        42       422      2671      8638     11842      7482      2018       254        24         0       33393
14  "VOMITING DIARRHEA"       627      7163     49734    160409    226507    136343     35442      4563       374         0      621162
14  "VOMITING DIARRHEA"        54       698      4441     14387     20239     12263      3388       476        37         0       55983
15    "MENTAL PROBLEMS"       421      5878     45587    156511    224226    131151     32359      3665       231         0      600029
15    "MENTAL PROBLEMS"        11       103       603      2076      2931      1767       470        65         6         0        8032
16              "FEVER"       394      5790     43759    152731    218990    127262     31167      3342       195         0      583630
16              "FEVER"         0         4        35       160       203       107        29         0         1         0         539
17        "FINGER PAIN"        46       766      5680     19532     28329     16451      4064       411        37         0       75316
17        "FINGER PAIN"         0         0         7        19        26        17         3         0         0         0          72
18           "HEADACHE"       428      6212     47693    163562    235198    137664     33589      3815       231         0      628392
18           "HEADACHE"         4        47       350      1067      1498       990       263        39         3         0        4261
19            "ASSAULT"        40       698      5654     19434     28082     16538      4009       416        29         0       74900
19            "ASSAULT"         0         1         4        13        17        18         5         0         0         0          58
20         "FACIAL LAC"       134      2144     15586     53907     77349     45100     11421      1273        82         0      206996
20         "FACIAL LAC"         0        43       295      1046      1407       771       228        26         2         0        3818
21         "WRIST PAIN"        76      1050      8462     29515     42350     24472      6038       647        42         0      112652
21         "WRIST PAIN"         0         0         4        26        33        28         2         1         0         0          94
22  "DIABETIC PROBLEMS"        52       965      7038     24385     35030     20503      5124       559        30         0       93686
22  "DIABETIC PROBLEMS"         0         1         5        30        24        25         5         0         0         0          90
23        "MED RELATED"       160      2524     19832     68593     99397     57730     13976      1646       100         0      263958
23        "MED RELATED"         0         0        22        81        92        48        13         0         0         0         256
24      "SHOULDER PAIN"        90      1322     10740     36301     53210     30991      7568       823        54         0      141099
24      "SHOULDER PAIN"         0         2         8        22        45        36         5         1         0         0         119
25     "HEART PROBLEMS"       276      4064     32078    110378    158097     92987     22479      2491       129         0      422979
25     "HEART PROBLEMS"         1         3        26       111       158        83        19         6         0         0         407
26 "SICKLE CELL CRISIS"        12       180      1396      4979      7079      4145      1010        92        10         0       18903
