  #                  SYNDROME      FEM AFF     FEM DEAD     MALE AFF    MALE DEAD    TOTAL AFF   TOTAL DEAD
  1                "ABD PAIN"       472466        35584       470975        35403       943441        70987
  2                "VOMITING"       447530        31542       449802        31884       897332        63426
  3               "BACK PAIN"       315068        20495       316448        20682       631516        41177
  4                "HEADACHE"       315203         2073       313189         2188       628392         4261
  5       "VOMITING DIARRHEA"       310358        28031       310804        27952       621162        55983
  6         "MENTAL PROBLEMS"       300107         3981       299922         4051       600029         8032
  7                    "RASH"       291882          296       294754          269       586636          565
  8                   "FEVER"       291823          253       291807          286       583630          539
  9            "EYE PROBLEMS"       268125         3781       267854         3949       535979         7730
 10          "HEART PROBLEMS"       211672          215       211307          192       422979          407
 11               "HAND PAIN"       196358          204       197280          163       393638          367
 12         "URINARY PROBLEM"       185231         1988       182428         2029       367659         4017
 13                "LEG PAIN"       183485         2007       183609         2008       367094         4015
 14       "VOMITING ABD PAIN"       168697        16599       170369        16794       339066        33393
 15               "BODY PAIN"       150594          152       149387          143       299981          295
 16           "NOSE PROBLEMS"       145959         9316       145561         9195       291520        18511
 17                "EAR PAIN"       136430         1983       136263         1964       272693         3947
 18              "CHEST PAIN"       136224          136       135959          148       272183          284
 19      "BREATHING PROBLEMS"       136094          122       135994          130       272088          252
 20             "MED RELATED"       132053          126       131905          130       263958          256
 21                   "COUGH"       118162          118       119842          149       238004          267
 22                "BLEEDING"       114012          833        97921           94       211933          927
 23              "FACIAL LAC"       103856         1926       103140         1892       206996         3818
 24              "ANKLE PAIN"       103428           94       103482           90       206910          184
 25         "SPEECH PROBLEMS"        89223           76        88990           91       178213          167
 26                "DIARRHEA"        85000         5650        85182         5686       170182        11336
 27                   "WOUND"        85312           64        84591          106       169903          170
 28                     "LOC"        79936           88        80046           85       159982          173
 29               "SIDE PAIN"        75859           77        74925           81       150784          158
 30       "PREGNANCY RELATED"        79352         1993        70390         1940       149742         3933
 31           "SHOULDER PAIN"        70797           57        70302           62       141099          119
 32               "KNEE PAIN"        70606           74        70442           76       141048          150
 33                 "SEIZURE"        70109           65        70679           52       140788          117
 34         "KIDNEY PROBLEMS"        70369           77        70353           57       140722          134
 35         "THROAT PROBLEMS"        70229           70        70470           71       140699          141
 36         "EATING PROBLEMS"        70570           63        70016           63       140586          126
 37                   "OTHER"        66447           66        65809           63       132256          129
 38         "DENTAL PROBLEMS"        61208           53        61207           56       122415          109
 39           "NECK PROBLEMS"        56418         1839        56467         1935       112885         3774
 40              "WRIST PAIN"        56069           56        56583           38       112652           94
 41                "ACCIDENT"        56245           58        56147           52       112392          110
 42                "HIP PAIN"        52161           66        51686           63       103847          129
 43       "DIABETIC PROBLEMS"        46863           47        46823           43        93686           90
 44        "STOMACH PROBLEMS"        42444           50        42006           45        84450           95
 45                     "SOB"        42065           31        42049           52        84114           83
 46             "ANIMAL BITE"        41920           39        41989           41        83909           80
 47       "VOMITING HEADACHE"        37420         1839        38113         1891        75533         3730
 48      "ABD PAIN BACK PAIN"        37535         3807        37895         3711        75430         7518
 49             "FINGER PAIN"        37834           41        37482           31        75316           72
 50                 "ASSAULT"        37407           23        37493           35        74900           58
 51          "STOOL PROBLEMS"        33066           43        32881           27        65947           70
 52                "OVERDOSE"        32845           23        32814           39        65659           62
 53          "SINUS PROBLEMS"        32803           27        32499           34        65302           61
 54                "MIGRAINE"        28472           33        28067           20        56539           53
 55                      "GI"        28263           23        28153           34        56416           57
 56              "THUMB PAIN"        23792           15        23449           19        47241           34
 57                     "STD"        23632           23        23533           27        47165           50
 58          "BOWEL PROBLEMS"        23658           22        23503           27        47161           49
 59                     "FLU"        23524           33        23481           18        47005           51
 60                 "ALLERGY"        23381           23        23254           16        46635           39
 61              "ELBOW PAIN"        19153           18        20089           31        39242           49
 62          "PENIS PROBLEMS"         4684            6        27994           28        32678           34
 63         "FEM UG PROBLEMS"        13013          135        17453           16        30466          151
 64             "PELVIC PAIN"        14357           16        14128           13        28485           29
 65          "MOUTH PROBLEMS"        14192           11        14152           10        28344           21
 66                 "ABSCESS"        10174           11        10017           10        20191           21
 67          "SUTURE REMOVAL"         9542           12         9418           12        18960           24
 68          "VOMITING COUGH"         9472            6         9434           11        18906           17
 69      "SICKLE CELL CRISIS"         9610           10         9293           13        18903           23
 70    "WRIST PAIN HAND PAIN"         9358           10         9506            8        18864           18
 71                   "FUSSY"         9396           11         9432            7        18828           18
 72             "CHICKEN POX"         9338           11         9430            8        18768           19
 73       "APPENDIX PROBLEMS"         9261           12         9439            8        18700           20
 74                   "EDEMA"         9306           10         9392            7        18698           17
 75                    "CODE"         9275            9         9293           12        18568           21
 76                    "CYST"         9361           10         9175            7        18536           17
 77             "THROAT PAIN"         4725            4         4664            5         9389            9
